Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_021946758.1	AIY54289.1|GH1|	50.5	481	222	8	22	491	33	508	2.4e-142	503.1
XP_021951691.1	AAI61734.1|GH1|	42.3	492	268	10	25	507	55	539	2.3e-111	400.2
XP_021952145.1	ATP16791.1|GH1|	51.7	503	207	9	19	517	1798	2268	7.7e-147	518.1
XP_021952675.1	AZQ05596.1|GH1|	47.8	510	255	6	3	502	2	510	6.8e-148	521.5
XP_021958966.1	AFO93777.1|GH1|	41.0	485	256	8	18	483	929	1402	4.0e-105	379.4
XP_021959021.1	BAG71912.1|GH1|3.2.1.21	45.2	473	245	8	27	495	480	942	6.9e-121	431.8
XP_021959023.1	CAA30801.1|GH1|3.2.1.108|3.2.1.62	45.2	478	252	7	21	493	1369	1841	5.7e-123	438.7
XP_021960701.1	AJE75667.1|GH1|	42.8	465	255	7	34	494	29	486	2.3e-111	400.6
XP_021961403.1	AZQ05595.1|GH1|	47.8	479	240	7	24	494	35	511	1.4e-137	487.3
XP_021961902.1	AZQ05596.1|GH1|	48.8	521	241	9	5	512	11	518	5.0e-144	508.8
XP_021963506.1	AZQ05595.1|GH1|	47.4	487	240	9	21	498	33	512	8.2e-130	461.5
XP_021963511.1	AZQ05595.1|GH1|	47.4	489	234	11	21	495	33	512	3.4e-128	456.1
XP_021965237.1	BAX08664.1|GH1|	45.4	515	261	8	50	555	481	984	2.6e-130	463.4
XP_021965239.1	AZQ05595.1|GH1|	53.9	471	209	5	33	495	40	510	3.3e-155	545.8
XP_021965243.1	BAG71912.1|GH1|3.2.1.21	49.6	474	230	7	22	494	477	942	1.2e-139	494.2
XP_021965263.1	AZQ05595.1|GH1|	50.8	514	244	6	1	505	8	521	1.0e-154	544.3
XP_021965304.1	AOY34571.1|GH1|	47.7	474	237	5	12	483	31	495	5.2e-129	458.8
XP_021965305.1	AOY34571.1|GH1|	47.7	474	237	5	12	483	31	495	5.2e-129	458.8
