Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_028127908.1	GH1(30-492)	N	GH1	N	2
XP_028129562.1	GH1(7-466)	GH1	GH1	N	3
XP_028132061.1	GH1(24-479)	GH1	GH1	N	3
XP_028132062.1	GH1(24-479)	GH1	GH1	N	3
XP_028132800.1	GH1(27-486)	GH1	GH1	N	3
XP_028132801.1	GH1(24-486)	GH1	GH1	N	3
XP_028132802.1	GH1(24-483)	GH1	GH1	N	3
XP_028132803.1	GH1(24-483)	GH1	GH1	N	3
XP_028132804.1	GH1(26-487)	GH1	GH1	N	3
XP_028132805.1	GH1(22-483)	GH1	GH1	N	3
XP_028132806.1	GH1(24-420)+GH1(421-603)	GH1	GH1	N	3
XP_028133139.1	GH1(30-491)	GH1	GH1	N	3
XP_028133140.1	GH1(24-485)	GH1	GH1	N	3
XP_028134781.1	GH1(43-502)	GH1	GH1	N	3
XP_028137807.1	GH1(23-486)	GH1	GH1	N	3
XP_028138419.1	GH1(1-393)	GH1	GH1	N	3
XP_028139019.1	GH1(23-483)	GH1	GH1	N	3
XP_028139020.1	GH1(23-450)	GH1	GH1	N	3
XP_028139021.1	GH1(35-495)	GH1	GH1	N	3
XP_028139022.1	GH1(35-449)	GH1	GH1	N	3
XP_028139023.1	GH1(22-478)	GH1	GH1	N	3
XP_028142169.1	GH1(33-495)	GH1	GH1	N	3
XP_028142171.1	GH1(30-492)+GH1(517-979)	GH1	GH1	N	3
XP_028142751.1	GH1(1-186)+GH1(237-696)	GH1	GH1	N	3
XP_028143930.1	GH1(22-480)	GH1	GH1	N	3
XP_028143931.1	GH1(22-480)	GH1	GH1	N	3
XP_028143932.1	GH1(46-395)	N	GH1	N	2
XP_028143933.1	GH1(46-395)	N	GH1	N	2
XP_028145690.1	GH1(33-192)	N	N	N	1
XP_028145693.1	GH1(23-485)	GH1	GH1	N	3
XP_028146172.1	GH1(1-217)	N	N	N	1
XP_028146173.1	GH1(33-286)	GH1	N	N	2
XP_028146876.1	GH1(26-478)	GH1	GH1	N	3
XP_028146915.1	GH1(32-493)	GH1	GH1	N	3
XP_028146916.1	GH1(17-478)	GH1	GH1	N	3
XP_028149029.1	GH1(33-505)	GH1	GH1	N	3
XP_028149430.1	GH1(25-487)	GH1	GH1	N	3
XP_028150563.1	GH1(395-851)	N	GH1	N	2
XP_028151147.1	GH1(24-327)	GH1	GH1	N	3
XP_028153050.1	GH1(23-474)	GH1	GH1	N	3
XP_028153058.1	GH1(109-355)	GH1	GH1	N	3
XP_028153064.1	GH1(5-364)	N	GH1	N	2
XP_028153289.1	GH1(24-301)	N	N	N	1
XP_028154745.1	GH1(34-248)	GH1	N	N	2
XP_028154640.1	N	GH1	N	N	1
XP_028155215.1	N	GH1	N	N	1
