HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_023715346.1	532	3.6e-150	4	427	44	510	0.986013986013986
GH1.hmm	429	XP_023715347.1	508	2e-147	4	427	27	489	0.986013986013986
GH1.hmm	429	XP_023717244.1	556	5.4e-151	2	427	25	485	0.9906759906759907
GH1.hmm	429	XP_023717245.1	530	3.4e-152	5	427	28	487	0.9836829836829837
GH1.hmm	429	XP_023717246.1	530	3.4e-152	5	427	28	487	0.9836829836829837
GH1.hmm	429	XP_023717247.1	530	3.4e-152	5	427	28	487	0.9836829836829837
GH1.hmm	429	XP_023717248.1	472	1.8e-139	2	397	25	453	0.9207459207459208
GH1.hmm	429	XP_023717249.1	518	2.9e-149	4	426	36	495	0.9836829836829837
GH1.hmm	429	XP_023717252.2	514	7.2e-156	3	427	40	502	0.9883449883449883
GH1.hmm	429	XP_023721112.1	557	4.8e-157	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_023721113.1	557	4.8e-157	3	427	22	483	0.9883449883449883
GH1.hmm	429	XP_023721122.1	476	5.2e-158	4	428	5	464	0.9883449883449883
GH1.hmm	429	XP_023721123.1	435	4.5e-80	158	428	119	423	0.6293706293706294
GH1.hmm	429	XP_023721124.1	431	6.1e-113	4	295	5	318	0.6783216783216783
GH1.hmm	429	XP_023723770.1	501	4.3e-161	3	428	31	493	0.9906759906759907
GH1.hmm	429	XP_023723771.1	499	1.1e-158	3	428	29	491	0.9906759906759907
GH1.hmm	429	XP_023723772.1	498	1.2e-155	4	428	30	491	0.9883449883449883
GH1.hmm	429	XP_023723773.1	497	1e-153	3	427	27	489	0.9883449883449883
GH1.hmm	429	XP_023723774.1	496	3.5e-154	2	427	20	483	0.9906759906759907
GH1.hmm	429	XP_033609437.1	515	1.2e-74	158	427	140	444	0.627039627039627
GH1.hmm	429	XP_033609438.1	532	3.2e-149	4	426	50	509	0.9836829836829837
GH1.hmm	429	XP_033609439.1	487	2.7e-107	4	296	50	364	0.6806526806526807
GH1.hmm	429	XP_033609442.1	1119	9.1e-161	4	427	29	484	0.986013986013986
GH1.hmm	429	XP_033609442.1	1119	1.8e-148	3	427	594	1054	0.9883449883449883
