Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_026753072.1	GH1(4-190)	N	N	N	1
XP_026754137.1	GH1(25-489)	GH1	GH1	N	3
XP_026754269.1	GH1(22-484)	GH1	GH1	N	3
XP_026755414.1	GH1(38-503)	GH1	GH1	N	3
XP_026756863.1	GH1(31-493)	GH1	GH1	N	3
XP_026757122.1	GH1(34-497)+GH1(555-1016)	GH1	GH1	N	3
XP_026758988.2	GH1(21-485)	GH1	GH1	N	3
XP_026759049.1	GH1(32-494)	GH1	GH1	N	3
XP_026762202.1	GH1(23-488)	GH1	GH1	N	3
XP_026764169.1	GH1(22-486)	GH1	GH1	N	3
XP_031763669.1	GH1(15-478)+GH1(521-984)	GH1	GH1	N	3
XP_031763957.1	GH1(2-465)	GH1	GH1	N	3
XP_031763958.1	GH1(2-465)	GH1	GH1	N	3
XP_031768016.1	GH1(18-483)	GH1	GH1	N	3
XP_031768072.1	GH1(23-490)+GH1(624-810)	GH1	GH1	N	3
XP_031768073.1	GH1(23-489)+GH1(510-899)	GH1	GH1	N	3
XP_031768866.1	GH1(134-346)	GH1	GH1	N	3
