Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_026754137.1	AEW46871.1|GH1|	77.2	500	114	0	1	500	1	500	3.7e-247	851.3
XP_026754269.1	AEW46870.1|GH1|	62.6	497	185	1	16	511	19	515	5.2e-204	708.0
XP_026755414.1	BAG30785.1|GH1|	64.0	506	178	3	10	512	18	522	3.9e-207	718.4
XP_026756863.1	AEW46867.1|GH1|	67.1	498	162	2	12	509	10	505	1.6e-213	739.6
XP_026757122.1	AFO93777.1|GH1|	44.2	991	487	18	36	1014	938	1874	8.2e-249	857.8
XP_026758988.2	AAP13852.1|GH1|3.2.1.21	81.1	476	90	0	1	476	1	476	1.5e-248	855.9
XP_026759049.1	SGZ49394.1|GH1|	72.1	526	140	4	2	523	3	525	2.5e-233	805.4
XP_026762202.1	AXY94809.1|GH1|	98.4	500	8	0	1	500	1	500	5.1e-305	1043.5
XP_026764169.1	ABK24806.1|GH1|	75.5	503	123	0	1	503	1	503	1.3e-236	816.2
XP_031763669.1	AFO93777.1|GH1|	44.9	978	485	18	17	981	937	1873	1.4e-242	837.0
XP_031763957.1	AEW46881.1|GH1|	49.1	477	231	6	1	472	32	501	1.3e-143	507.3
XP_031763958.1	AEW46881.1|GH1|	49.1	477	231	6	1	472	32	501	1.3e-143	507.3
XP_031768016.1	AXY94809.1|GH1|	97.4	495	13	0	1	495	6	500	1.7e-300	1028.5
XP_031768072.1	AXY94809.1|GH1|	52.3	488	232	1	1	488	1	487	9.5e-166	581.6
XP_031768073.1	AXY94809.1|GH1|	53.6	491	227	1	1	491	1	490	1.0e-170	598.2
XP_031768866.1	AEW46878.1|GH1|	49.9	459	116	6	1	347	1	457	2.9e-126	449.1
