HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_022818242.1	497	6.5e-143	4	428	23	487	0.9883449883449883
GH1.hmm	429	XP_022818243.1	491	6.2e-143	4	428	17	481	0.9883449883449883
GH1.hmm	429	XP_022818244.1	496	1.9e-143	5	427	23	485	0.9836829836829837
GH1.hmm	429	XP_022818245.1	446	1e-99	5	298	23	340	0.682983682983683
GH1.hmm	429	XP_022818246.1	485	5.2e-134	3	427	19	478	0.9883449883449883
GH1.hmm	429	XP_022818247.1	498	7.4e-140	2	427	20	484	0.9906759906759907
GH1.hmm	429	XP_022818485.1	468	1.1e-140	4	427	2	463	0.986013986013986
GH1.hmm	429	XP_022818653.1	496	7.6e-137	4	427	23	484	0.986013986013986
GH1.hmm	429	XP_022818654.1	500	1e-137	4	427	24	485	0.986013986013986
GH1.hmm	429	XP_022818655.1	993	2.6e-138	2	426	27	492	0.9883449883449883
GH1.hmm	429	XP_022818655.1	993	1.8e-145	4	427	519	982	0.986013986013986
GH1.hmm	429	XP_022820790.1	510	1.6e-153	3	427	29	491	0.9883449883449883
GH1.hmm	429	XP_022821775.1	506	2.5e-148	4	426	31	491	0.9836829836829837
GH1.hmm	429	XP_022822385.1	499	1.7e-149	3	427	22	486	0.9883449883449883
GH1.hmm	429	XP_022822475.1	530	4.4e-154	3	427	31	495	0.9883449883449883
GH1.hmm	429	XP_022825294.1	522	3.2e-149	2	426	35	503	0.9883449883449883
GH1.hmm	429	XP_022825432.1	513	3e-150	4	425	31	493	0.9813519813519813
GH1.hmm	429	XP_022827201.1	1014	1.8e-154	2	427	22	488	0.9906759906759907
GH1.hmm	429	XP_022827201.1	1014	9e-151	2	427	521	984	0.9906759906759907
GH1.hmm	429	XP_022827202.1	1091	2.1e-147	3	427	22	487	0.9883449883449883
GH1.hmm	429	XP_022827202.1	1091	2.4e-151	2	427	604	1072	0.9906759906759907
GH1.hmm	429	XP_022827203.1	1076	3.5e-147	2	426	21	486	0.9883449883449883
GH1.hmm	429	XP_022827203.1	1076	4.8e-148	2	427	591	1057	0.9906759906759907
GH1.hmm	429	XP_022827260.1	506	4.1e-148	2	426	21	486	0.9883449883449883
GH1.hmm	429	XP_022827446.1	505	4.5e-141	3	427	27	490	0.9883449883449883
GH1.hmm	429	XP_022827475.1	542	3.9e-143	3	427	64	527	0.9883449883449883
GH1.hmm	429	XP_022827476.1	508	3.1e-143	3	427	30	493	0.9883449883449883
GH1.hmm	429	XP_022827478.1	480	3.4e-143	3	427	2	465	0.9883449883449883
GH1.hmm	429	XP_022827479.1	480	3.4e-143	3	427	2	465	0.9883449883449883
GH1.hmm	429	XP_022827607.1	519	3.2e-146	3	428	25	490	0.9906759906759907
GH1.hmm	429	XP_022830560.1	524	6.3e-156	3	427	42	505	0.9883449883449883
GH1.hmm	429	XP_022833294.1	298	8.7e-77	179	428	3	295	0.5804195804195804
GH1.hmm	429	XP_022833531.1	295	6.5e-77	182	428	16	290	0.5734265734265734
GH1.hmm	429	XP_022833696.1	482	2.3e-152	4	428	3	478	0.9883449883449883
GH1.hmm	429	XP_022833742.1	436	1.3e-126	37	428	5	432	0.9114219114219114
GH1.hmm	429	XP_022833751.1	476	3.6e-153	5	428	4	473	0.986013986013986
GH1.hmm	429	XP_022833797.1	516	2.4e-133	1	408	1	421	0.9487179487179487
GH1.hmm	429	XP_022833843.1	484	2.3e-168	4	428	8	475	0.9883449883449883
GH1.hmm	429	XP_022833885.1	482	2.3e-153	3	428	6	478	0.9906759906759907
GH1.hmm	429	XP_022835024.1	477	3.4e-148	4	428	2	471	0.9883449883449883
GH1.hmm	429	XP_022835647.1	463	1.9e-156	2	424	22	462	0.9836829836829837
GH1.hmm	429	XP_022836868.1	193	1.8e-36	184	343	14	187	0.3706293706293706
