Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
XP_030020991.1	GH1(22-485)	GH1	GH1	N	3
XP_030025072.1	GH1(19-481)+GH1(947-1409)	GH1	GH1	N	3
XP_030025073.1	GH1(30-492)+GH1(533-995)	GH1	GH1	N	3
XP_030026236.1	GH1(23-486)	GH1	GH1	N	3
XP_030026240.1	GH1(22-483)	GH1	GH1	N	3
XP_030026255.1	GH1(22-485)	GH1	GH1	N	3
XP_030026258.1	GH1(22-485)	GH1	GH1	N	3
XP_030026259.1	GH1(22-468)	GH1	GH1	N	3
XP_030026260.1	GH1(52-516)	GH1	GH1	N	3
XP_030026262.1	GH1(39-503)	GH1	GH1	N	3
XP_030026263.1	GH1(22-483)	GH1	GH1	N	3
XP_030026264.1	GH1(22-485)+GH1(514-978)	GH1	GH1	N	3
XP_030026265.1	GH1(22-475)	GH1	GH1	N	3
XP_030026267.1	GH1(22-483)	GH1	GH1	N	3
XP_030026268.1	GH1(22-453)	GH1	GH1	N	3
XP_030026269.1	GH1(22-265)	GH1	GH1	N	3
XP_030026270.1	GH1(23-485)	GH1	GH1	N	3
XP_030026885.1	GH1(29-492)	GH1	GH1	N	3
XP_030029896.1	GH1(24-485)	GH1	GH1	N	3
XP_030032528.1	GH1(22-483)	GH1	GH1	N	3
XP_030032537.1	GH1(22-483)	GH1	GH1	N	3
XP_030032546.1	GH1(22-396)	N	GH1	N	2
XP_030032559.1	GH1(22-483)	GH1	GH1	N	3
XP_030032573.1	GH1(22-483)	GH1	GH1	N	3
XP_030032583.1	GH1(11-472)	GH1	GH1	N	3
XP_030033142.1	GH1(27-491)	GH1	GH1	N	3
XP_030035516.1	GH1(32-496)+GH1(554-1018)	GH1	GH1	N	3
XP_030037279.1	GH1(22-486)	GH1	GH1	N	3
XP_030037280.1	GH1(22-486)	GH1	GH1	N	3
XP_030037524.1	GH1(22-488)	GH1	GH1	N	3
XP_030037804.1	GH1(35-498)	GH1	GH1	N	3
XP_030037805.1	GH1(22-485)	GH1	GH1	N	3
XP_030037806.1	GH1(8-471)	GH1	GH1	N	3
XP_030039701.1	GH1(20-230)	GH1	GH1	N	3
XP_030039800.1	GH1(20-202)	GH1	N	N	2
XP_030041345.1	GH1(38-504)	GH1	GH1	N	3
