Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_008195643.1	AJE75667.1|GH1|	51.6	467	218	4	28	491	28	489	3.1e-145	512.7
XP_008195645.1	AJE75665.1|GH1|	56.4	488	209	3	7	493	4	488	5.2e-177	618.2
XP_015833762.1	ADD92156.1|GH1|	51.9	441	203	4	2	438	31	466	4.1e-141	498.8
XP_015837060.1	AFO93777.1|GH1|	43.7	995	495	16	25	1007	938	1879	4.4e-247	852.0
XP_015837080.1	AAG26008.1|GH1|3.2.1.21	65.3	493	167	1	4	492	5	497	7.9e-210	727.2
XP_015837318.1	AJE75665.1|GH1|	56.4	488	209	3	7	493	4	488	5.2e-177	618.2
XP_015839336.1	AHZ59647.1|GH1|	56.0	473	203	5	24	495	21	489	7.8e-165	577.8
XP_015839337.1	AHZ59647.1|GH1|	56.0	473	203	5	24	495	21	489	7.8e-165	577.8
XP_966332.1	AHZ59650.1|GH1|	53.0	462	213	3	21	479	7	467	3.2e-150	529.3
XP_968318.1	AHZ59647.1|GH1|	56.0	473	203	5	24	495	21	489	7.8e-165	577.8
XP_970224.1	ADB23476.1|GH1|3.2.1.21	52.8	468	214	3	23	486	28	492	4.7e-154	542.0
XP_972032.1	AJE75667.1|GH1|	54.5	495	214	7	8	498	7	494	6.6e-164	574.7
XP_972082.1	AJE75667.1|GH1|	58.9	491	200	2	3	493	5	493	7.7e-181	630.9
XP_972134.1	AJE75667.1|GH1|	59.3	489	196	3	6	493	7	493	1.5e-179	626.7
XP_972182.1	AJE75667.1|GH1|	51.9	478	211	6	13	481	20	487	1.7e-148	523.5
XP_972231.1	AJE75667.1|GH1|	51.6	467	218	4	24	487	28	489	3.1e-145	512.7
XP_972386.3	AJE75667.1|GH1|	50.2	466	224	4	38	500	29	489	3.9e-148	522.3
XP_975665.2	AAG26008.1|GH1|3.2.1.21	65.3	493	165	2	5	491	5	497	4.6e-210	728.0
XP_975666.1	AAG26008.1|GH1|3.2.1.21	85.9	495	70	0	5	499	5	499	1.1e-283	972.6
