HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1.hmm	429	XP_018564640.1	494	1.2e-151	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018564647.1	474	4.8e-143	3	426	23	465	0.986013986013986
GH1.hmm	429	XP_018565386.1	502	8.8e-147	2	427	26	486	0.9906759906759907
GH1.hmm	429	XP_018565412.1	537	2.6e-148	4	426	68	529	0.9836829836829837
GH1.hmm	429	XP_018565413.1	494	8e-151	4	427	27	489	0.986013986013986
GH1.hmm	429	XP_018565414.1	376	2.1e-84	3	311	17	342	0.717948717948718
GH1.hmm	429	XP_018565416.1	531	6.1e-153	5	427	64	521	0.9836829836829837
GH1.hmm	429	XP_018565422.1	494	4.6e-154	4	426	27	486	0.9836829836829837
GH1.hmm	429	XP_018565423.1	494	9.7e-149	4	427	27	487	0.986013986013986
GH1.hmm	429	XP_018565424.1	605	5.1e-136	2	425	23	479	0.986013986013986
GH1.hmm	429	XP_018565428.1	527	3.4e-125	4	426	23	475	0.9836829836829837
GH1.hmm	429	XP_018565430.1	524	5.4e-121	3	424	23	474	0.9813519813519813
GH1.hmm	429	XP_018565432.1	519	2.5e-121	3	426	23	476	0.986013986013986
GH1.hmm	429	XP_018565433.1	518	7e-122	4	426	24	476	0.9836829836829837
GH1.hmm	429	XP_018565434.1	570	2.7e-153	4	427	25	483	0.986013986013986
GH1.hmm	429	XP_018565435.1	527	2.4e-154	4	427	25	483	0.986013986013986
GH1.hmm	429	XP_018565438.1	509	2.2e-149	2	425	22	480	0.986013986013986
GH1.hmm	429	XP_018565439.1	493	8.2e-165	3	427	24	485	0.9883449883449883
GH1.hmm	429	XP_018567100.1	493	4.4e-165	3	426	24	484	0.986013986013986
GH1.hmm	429	XP_018567960.1	493	1.4e-159	3	424	23	481	0.9813519813519813
GH1.hmm	429	XP_018567975.1	494	3.3e-153	2	426	23	484	0.9883449883449883
GH1.hmm	429	XP_018568746.1	498	8.4e-153	3	426	27	489	0.986013986013986
GH1.hmm	429	XP_018568747.1	495	4.7e-150	3	426	23	486	0.986013986013986
GH1.hmm	429	XP_018568748.1	494	3.3e-153	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018568749.1	494	5.8e-153	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018568750.1	494	1.1e-154	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018568760.1	491	3.4e-153	3	426	21	483	0.986013986013986
GH1.hmm	429	XP_018568761.1	491	3.4e-153	3	426	21	483	0.986013986013986
GH1.hmm	429	XP_018570324.1	492	3.5e-155	3	428	23	485	0.9906759906759907
GH1.hmm	429	XP_018570851.1	494	6.1e-152	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018571131.1	501	1.2e-159	2	426	28	487	0.9883449883449883
GH1.hmm	429	XP_018571865.1	493	5.6e-158	5	427	22	482	0.9836829836829837
GH1.hmm	429	XP_018571866.1	491	5.4e-160	5	427	22	480	0.9836829836829837
GH1.hmm	429	XP_018572133.1	494	2.6e-151	3	426	23	485	0.986013986013986
GH1.hmm	429	XP_018573206.1	494	2.4e-165	2	426	23	484	0.9883449883449883
GH1.hmm	429	XP_018573207.1	493	2.9e-168	3	426	24	484	0.986013986013986
GH1.hmm	429	XP_018573208.1	493	1.3e-166	3	426	24	484	0.986013986013986
