Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_030752208.1	AEE61793.1|GH1|	67.5	486	157	1	28	513	35	519	4.5e-208	721.5
XP_030752209.1	AEE61793.1|GH1|	68.3	486	153	1	22	507	35	519	7.4e-211	730.7
XP_030752211.1	AEE61793.1|GH1|	68.9	486	150	1	21	506	35	519	4.8e-210	728.0
XP_030753323.1	ATP16791.1|GH1|	43.4	936	497	14	1	930	1833	2741	2.5e-228	789.6
XP_030753325.1	ATP16791.1|GH1|	42.7	994	495	16	22	1001	1329	2261	4.0e-240	828.9
XP_030753399.1	AEE63301.1|GH1|	69.1	498	148	1	1	492	1	498	4.0e-222	768.1
XP_030753401.1	AEE62242.1|GH1|	61.5	483	183	3	3	483	5	486	8.4e-180	627.5
XP_030754216.1	AEE63189.1|GH1|	58.9	462	149	1	29	449	39	500	5.6e-170	594.7
XP_030754217.1	AEE63301.1|GH1|	70.7	475	139	0	24	498	24	498	6.5e-220	760.8
XP_030767112.1	AEE61591.1|GH1|	54.9	475	200	4	12	472	6	480	8.4e-156	547.7
XP_030767119.1	AEE61591.1|GH1|	53.8	470	203	4	13	468	11	480	2.8e-151	532.7
XP_030767120.1	AEE63189.1|GH1|	46.4	470	174	4	18	409	28	497	6.4e-120	428.3
XP_030767121.1	AEE63189.1|GH1|	52.8	396	174	3	18	400	28	423	2.5e-124	443.0
XP_030767645.1	AEE63265.1|GH1|	80.8	495	94	1	7	501	4	497	1.6e-253	872.5
