Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
XP_018564640.1	AJE75670.1|GH1|	68.2	491	153	2	7	494	11	501	1.6e-210	729.6
XP_018564647.1	AJE75670.1|GH1|	64.8	491	150	3	7	474	11	501	1.6e-196	682.9
XP_018565386.1	ATY36713.1|GH1|	80.3	502	99	0	1	502	1	502	3.0e-257	884.8
XP_018565412.1	AJE75667.1|GH1|	51.9	478	219	5	64	537	24	494	7.7e-142	501.5
XP_018565413.1	AJE75667.1|GH1|	49.4	476	228	5	23	493	24	491	1.4e-137	487.3
XP_018565416.1	AJE75662.1|GH1|	61.5	462	176	2	65	524	56	517	1.5e-174	610.1
XP_018565422.1	AJE75667.1|GH1|	49.7	471	226	6	28	493	29	493	1.2e-136	484.2
XP_018565423.1	AJE75667.1|GH1|	50.2	480	222	8	23	494	24	494	5.8e-136	481.9
XP_018565424.1	AHZ59670.1|GH1|	50.9	487	235	4	1	484	1	486	6.0e-143	505.4
XP_018565428.1	AHZ59670.1|GH1|	44.6	480	259	4	6	479	8	486	1.2e-123	441.0
XP_018565430.1	AJE75662.1|GH1|	47.6	441	226	4	23	458	53	493	9.2e-124	441.4
XP_018565432.1	AJE75662.1|GH1|	46.4	455	237	6	23	470	53	507	1.1e-124	444.5
XP_018565433.1	AJE75662.1|GH1|	45.3	475	253	6	23	490	53	527	1.6e-123	440.7
XP_018565434.1	AJE75662.1|GH1|	61.6	463	176	2	26	486	55	517	8.4e-179	624.4
XP_018565435.1	AJE75662.1|GH1|	61.3	463	177	2	26	486	55	517	1.3e-173	607.1
XP_018565438.1	AJE75662.1|GH1|	54.4	465	210	2	23	485	53	517	1.3e-159	560.5
XP_018565439.1	AJE75665.1|GH1|	59.4	468	189	1	21	487	17	484	4.2e-179	625.2
XP_018567100.1	AJE75661.1|GH1|	59.0	483	195	2	10	491	8	488	4.4e-184	641.7
XP_018567960.1	AJE75661.1|GH1|	58.4	485	199	2	7	490	6	488	2.3e-180	629.4
XP_018567975.1	AJE75665.1|GH1|	54.9	486	216	3	8	491	4	488	5.4e-166	581.6
XP_018568746.1	AJE75670.1|GH1|	67.2	494	159	2	8	498	8	501	1.4e-209	726.5
XP_018568747.1	AJE75670.1|GH1|	66.0	488	164	2	5	491	9	495	2.7e-205	712.2
XP_018568748.1	AJE75670.1|GH1|	68.8	487	151	1	5	490	9	495	1.2e-213	740.0
XP_018568749.1	AJE75670.1|GH1|	67.6	494	157	2	4	494	8	501	5.5e-211	731.1
XP_018568750.1	AJE75670.1|GH1|	69.6	487	147	1	5	490	9	495	6.3e-215	744.2
XP_018568760.1	AHZ59653.1|GH1|	57.8	486	202	1	6	488	7	492	8.2e-183	637.5
XP_018568761.1	AHZ59653.1|GH1|	57.8	486	202	1	6	488	7	492	8.2e-183	637.5
